"","title","author","subject","abstract","date"
"1","On the Complexity of Community-aware Network Sparsification","Emanuel Herrendorf, Christian Komusiewicz, Nils Morawietz, Frank Sommer","Data Structures and Algorithms (cs.DS)","Network sparsification is the task of reducing the number of edges of a given graph while preserving some crucial graph property. In communityaware network sparsification, the preserved property concerns the subgraphs that are induced by the communities of the graph which are given as vertex subsets. This is formalized in the PiNetwork Sparsification problem given an edgeweighted graph G, a collection Z of c subsets of VG communities, and two numbers ell, b, the question is whether there exists a spanning subgraph G of G with at most ell edges of total weight at most b such that GC fulfills Pi for each community C. Here, we consider two graph properties Pi the connectivity property Connectivity NWS and the property of having a spanning star Stars NWS. Since both problems are NPhard, we study their parameterized and finegrained complexity. We provide a tight 2Omegan2c polynZtime running time lower bound based on the ETH for both problems, where n is the number of vertices in G. The lower bound holds even in the restricted case when all communities have size at most 4, G is a clique, and every edge has unit weight. For the connectivity property, the unit weight case with G being a clique is the wellstudied problem of computing a hypergraph support with a minimum number of edges. We then study the complexity of both problems parameterized by the feedback edge number t of the solution graph G. For Stars NWS, we present an XPalgorithm for t. This answers an open question by Korach and Stern Disc. Appl. Math. 08 who asked for the existence of polynomialtime algorithms for t0. In contrast, we show for Connectivity NWS that known polynomialtime algorithms for t0 Korach and Stern, Math. Program. 03 Klemz et al., SWAT 14 cannot be extended by showing that Connectivity NWS is NPhard for t1.","Fri, 23 Feb 2024 18:32:39 UTC (165 KB)"
"2","Graph Partitioning With Limited Moves","Majid Behbahani, Mina Dalirrooyfard, Elaheh Fata, Yuriy Nevmyvaka","Data Structures and Algorithms (cs.DS)","In many real world networks, there already exists a not necessarily optimal kpartitioning of the network. Oftentimes, one aims to find a kpartitioning with a smaller cut value for such networks by moving only a few nodes across partitions. The number of nodes that can be moved across partitions is often a constraint forced by budgetary limitations. Motivated by such realworld applications, we introduce and study the rmove kpartitioningproblem, a natural variant of the Multiway cut problem. Given a graph, a set of k terminals and an initial partitioning of the graph, the rmove kpartitioningproblem aims to find a kpartitioning with the minimumweighted cut among all the kpartitionings that can be obtained by moving at most r nonterminal nodes to partitions different from their initial ones. Our main result is a polynomial time 3r1 approximation algorithm for this problem. We further show that this problem is W1hard, and give an FPTAS for when r is a small constant.","Fri, 23 Feb 2024 18:25:54 UTC (757 KB)"
"3","Lasso with Latents: Efficient Estimation, Covariate Rescaling, and Computational-Statistical Gaps","Jonathan Kelner, Frederic Koehler, Raghu Meka, Dhruv Rohatgi","Machine Learning (stat.ML)","It is wellknown that the statistical performance of Lasso can suffer significantly when the covariates of interest have strong correlations. In particular, the prediction error of Lasso becomes much worse than computationally inefficient alternatives like Best Subset Selection. Due to a large conjectured computationalstatistical tradeoff in the problem of sparse linear regression, it may be impossible to close this gap in general. In this work, we propose a natural sparse linear regression setting where strong correlations between covariates arise from unobserved latent variables. In this setting, we analyze the problem caused by strong correlations and design a surprisingly simple fix. While Lasso with standard normalization of covariates fails, there exists a heterogeneous scaling of the covariates with which Lasso will suddenly obtain strong provable guarantees for estimation. Moreover, we design a simple, efficient procedure for computing such a smart scaling. The sample complexity of the resulting rescaled Lasso algorithm incurs in the worst case quadratic dependence on the sparsity of the underlying signal. While this dependence is not informationtheoretically necessary, we give evidence that it is optimal among the class of polynomialtime algorithms, via the method of lowdegree polynomials. This argument reveals a new connection between sparse linear regression and a special version of sparse PCA with a nearcritical negative spike. The latter problem can be thought of as a realvalued analogue of learning a sparse parity. Using it, we also establish the first computationalstatistical gap for the closely related problem of learning a Gaussian Graphical Model.","Fri, 23 Feb 2024 16:16:38 UTC (285 KB)"
"4","Tight Approximation and Kernelization Bounds for Vertex-Disjoint Shortest Paths","Matthias Bentert, Fedor V. Fomin, Petr A. Golovach","Data Structures and Algorithms (cs.DS)","We examine the possibility of approximating Maximum VertexDisjoint Shortest Paths. In this problem, the input is an edgeweighted directed or undirected nvertex graph G along with k terminal pairs s1,t1,s2,t2,ldots,sk,tk. The task is to connect as many terminal pairs as possible by pairwise vertexdisjoint paths such that each path is a shortest path between the respective terminals. Our work is anchored in the recent breakthrough by Lochet SODA 21, which demonstrates the polynomialtime solvability of the problem for a fixed value of k. Lochets result implies the existence of a polynomialtime ckapproximation for Maximum VertexDisjoint Shortest Paths, where c leq 1 is a constant. Our first result suggests that this approximation algorithm is, in a sense, the best we can hope for. More precisely, assuming the gapETH, we exclude the existence of an okapproximations within fk cdot polyn time for any function f that only depends on k. Our second result demonstrates the infeasibility of achieving an approximation ratio of nfrac12varepsilon in polynomial time, unless P  NP. It is not difficult to show that a greedy algorithm selecting a path with the minimum number of arcs results in a lceilsqrtellrceilapproximation, where ell is the number of edges in all the paths of an optimal solution. Since ell leq n, this underscores the tightness of the nfrac12varepsiloninapproximability bound. Additionally, we establish that Maximum VertexDisjoint Shortest Paths is fixedparameter tractable when parameterized by ell but does not admit a polynomial kernel. Our hardness results hold for undirected graphs with unit weights, while our positive results extend to scenarios where the input graph is directed and features arbitrary nonnegative edge weights.","Fri, 23 Feb 2024 14:31:52 UTC (25 KB)"
"5","Platforms for Efficient and Incentive-Aware Collaboration","Nika Haghtalab, Mingda Qiao, Kunhe Yang","Computer Science and Game Theory (cs.GT)","Collaboration is crucial for reaching collective goals. However, its effectiveness is often undermined by the strategic behavior of individual agents  a fact that is captured by a high Price of Stability PoS in recent literature Blum et al., 2021. Implicit in the traditional PoS analysis is the assumption that agents have full knowledge of how their tasks relate to one another. We offer a new perspective on bringing about efficient collaboration among strategic agents using information design. Inspired by the growing importance of collaboration in machine learning such as platforms for collaborative federated learning and data cooperatives, we propose a framework where the platform has more information about how the agents tasks relate to each other than the agents themselves. We characterize how and to what degree such platforms can leverage their information advantage to steer strategic agents toward efficient collaboration. Concretely, we consider collaboration networks where each node is a task type held by one agent, and each task benefits from contributions made in their inclusive neighborhood of tasks. This network structure is known to the agents and the platform, but only the platform knows each agents real location  from the agents perspective, their location is determined by a random permutation. We employ private Bayesian persuasion and design two families of persuasive signaling schemes that the platform can use to ensure a small total workload when agents follow the signal. The first family aims to achieve the minmax optimal approximation ratio compared to the optimal collaboration, which is shown to be Thetasqrtn for unitweight graphs, Thetan23 for graphs with constant minimum edge weights, and On34 for general weighted graphs. The second family ensures perinstance strict improvement compared to full information disclosure.","Fri, 23 Feb 2024 08:04:23 UTC (62 KB)"
"6","Algorithmically Fair Maximization of Multiple Submodular Objective Functions","Georgios Amanatidis, Georgios Birmpas, Philip Lazos, Stefano Leonardi, Rebecca Reiffenhäuser","Data Structures and Algorithms (cs.DS)","Constrained maximization of submodular functions poses a central problem in combinatorial optimization. In many realistic scenarios, a number of agents need to maximize multiple submodular objectives over the same ground set. We study such a setting, where the different solutions must be disjoint, and thus, questions of fairness arise. Inspired from the fair division literature, we suggest a simple roundrobin protocol, where agents are allowed to build their solutions one item at a time by taking turns. Unlike what is typical in fair division, however, the prime goal here is to provide a fair algorithmic environment each agent is allowed to use any algorithm for constructing their respective solutions. We show that just by following simple greedy policies, agents have solid guarantees for both monotone and nonmonotone objectives, and for combinatorial constraints as general as psystems which capture cardinality and matroid intersection constraints. In the monotone case, our results include approximate EF1type guarantees and their implications in fair division may be of independent interest. Further, although following a greedy policy may not be optimal in general, we show that consistently performing better than that is computationally hard.","Fri, 23 Feb 2024 07:37:05 UTC (389 KB)"
"7","The Cost of Parallelizing Boosting","Xin Lyu, Hongxun Wu, Junzhao Yang","Machine Learning (cs.LG)","We study the cost of parallelizing weaktostrong boosting algorithms for learning, following the recent work of Karbasi and Larsen. Our main results are twofold  First, we prove a tight lower bound, showing that even slight parallelization of boosting requires an exponential blowup in the complexity of training. Specifically, let gamma be the weak learners advantage over random guessing. The famous textscAdaBoost algorithm produces an accurate hypothesis by interacting with the weak learner for tildeO1  gamma2 rounds where each round runs in polynomial time. Karbasi and Larsen showed that significant parallelization must incur exponential blowup Any boosting algorithm either interacts with the weak learner for Omega1  gamma rounds or incurs an expd  gamma blowup in the complexity of training, where d is the VC dimension of the hypothesis class. We close the gap by showing that any boosting algorithm either has Omega1  gamma2 rounds of interaction or incurs a smaller exponential blowup of expd. Complementing our lower bound, we show that there exists a boosting algorithm using tildeO1t gamma2 rounds, and only suffer a blowup of expd cdot t2. Plugging in t  omega1, this shows that the smaller blowup in our lower bound is tight. More interestingly, this provides the first tradeoff between the parallelism and the total work required for boosting.","Fri, 23 Feb 2024 07:03:52 UTC (25 KB)"
"8","The Umeyama algorithm for matching correlated Gaussian geometric models in the low-dimensional regime","Shuyang Gong, Zhangsong Li","Statistics Theory (math.ST)","Motivated by the problem of matching two correlated random geometric graphs, we study the problem of matching two Gaussian geometric models correlated through a latent node permutation. Specifically, given an unknown permutation pi on 1,ldots,n and given n i.i.d. pairs of correlated Gaussian vectors Xpii,Yi in mathbbRd with noise parameter sigma, we consider two types of correlated weighted complete graphs with edge weights given by Ai,jlangle Xi,Xj rangle, Bi,jlangle Yi,Yj rangle. The goal is to recover the hidden vertex correspondence pi based on the observed matrices A and B. For the lowdimensional regime where dOlog n, Wang, Wu, Xu, and Yolou WWXY22 established the information thresholds for exact and almost exact recovery in matching correlated Gaussian geometric models. They also conducted numerical experiments for the classical Umeyama algorithm. In our work, we prove that this algorithm achieves exact recovery of pi when the noise parameter sigmaod3n2d, and almost exact recovery when sigmaod3n1d. Our results approach the information thresholds up to a operatornamepolyd factor in the lowdimensional regime.","Fri, 23 Feb 2024 04:58:54 UTC (32 KB)"
"9","Tight Inapproximability of Target Set Reconfiguration","Naoto Ohsaka","Data Structures and Algorithms (cs.DS)","Given a graph G with a vertex threshold function tau, consider a dynamic process in which any inactive vertex v becomes activated whenever at least tauv of its neighbors are activated. A vertex set S is called a target set if all vertices of G would be activated when initially activating vertices of S. In the Minmax Target Set Reconfiguration problem, for a graph G and its two target sets X and Y, we wish to transform X into Y by repeatedly adding or removing a single vertex, using only target sets of G, so as to minimize the maximum size of any intermediate target set. We prove that it is NPhard to approximate Minmax Target Set Reconfiguration within a factor of 2oleftfrac1operatornamepolylog nright, where n is the number of vertices. Our result establishes a tight lower bound on approximability of Minmax Target Set Reconfiguration, which admits a 2factor approximation algorithm. The proof is based on a gappreserving reduction from Target Set Selection to Minmax Target Set Reconfiguration, where NPhardness of approximation for the former problem is proven by Chen SIAM J. Discrete Math., 2009 and Charikar, Naamad, and Wirth APPROXRANDOM 2016.","Fri, 23 Feb 2024 03:35:36 UTC (21 KB)"
"10","Repro Samples Method for a Performance Guaranteed Inference in General and Irregular Inference Problems","Minge Xie, Peng Wang","Methodology (stat.ME)","Rapid advancements in data science require us to have fundamentally new frameworks to tackle prevalent but highly nontrivial irregular inference problems, to which the large sample central limit theorem does not apply. Typical examples are those involving discrete or nonnumerical parameters and those involving nonnumerical data, etc. In this article, we present an innovative, widereaching, and effective approach, called repro samples method, to conduct statistical inference for these irregular problems plus more. The development relates to but improves several existing simulationinspired inference approaches, and we provide both exact and approximate theories to support our development. Moreover, the proposed approach is broadly applicable and subsumes the classical NeymanPearson framework as a special case. For the oftenseen irregular inference problems that involve both discretenonnumerical and continuous parameters, we propose an effective threestep procedure to make inferences for all parameters. We also develop a unique matching scheme that turns the discreteness of discretenonnumerical parameters from an obstacle for forming inferential theories into a beneficial attribute for improving computational efficiency. We demonstrate the effectiveness of the proposed general methodology using various examples, including a case study example on a Gaussian mixture model with unknown number of components. This case study example provides a solution to a longstanding open inference question in statistics on how to quantify the estimation uncertainty for the unknown number of components and other associated parameters. Real data and simulation studies, with comparisons to existing approaches, demonstrate the far superior performance of the proposed method.","Thu, 22 Feb 2024 22:43:42 UTC (384 KB)"
"11","Parallel Approximate Maximum Flows in Near-Linear Work and Polylogarithmic Depth","Arpit Agarwal, Sanjeev Khanna, Huan Li, Prathamesh Patil, Chen Wang, Nathan White, Peilin Zhong","Data Structures and Algorithms (cs.DS)","We present a parallel algorithm for the 1epsilonapproximate maximum flow problem in capacitated, undirected graphs with n vertices and m edges, achieving Oepsilon3textpolylog n depth and Om epsilon3 textpolylog n work in the PRAM model. Although nearlinear time sequential algorithms for this problem have been known for almost a decade, no parallel algorithms that simultaneously achieved polylogarithmic depth and nearlinear work were known. At the heart of our result is a polylogarithmic depth, nearlinear work recursive algorithm for computing congestion approximators. Our algorithm involves a recursive step to obtain a lowquality congestion approximator followed by a boosting step to improve its quality which prevents a multiplicative blowup in error. Similar to Peng SODA16, our boosting step builds upon the hierarchical decomposition scheme of Rcke, Shah, and Tubig SODA14. A direct implementation of this approach, however, leads only to an algorithm with no1 depth and m1o1 work. To get around this, we introduce a new hierarchical decomposition scheme, in which we only need to solve maximum flows on subgraphs obtained by contracting vertices, as opposed to vertexinduced subgraphs used in Rcke, Shah, and Tubig SODA14. In particular, we are able to directly extract congestion approximators for the subgraphs from a congestion approximator for the entire graph, thereby avoiding additional recursion on those subgraphs. Along the way, we also develop a parallel flowdecomposition algorithm that is crucial to achieving polylogarithmic depth and may be of independent interest.","Thu, 22 Feb 2024 20:23:59 UTC (97 KB)"
"12","Hitting Meets Packing: How Hard Can it Be?","Jacob Focke, Fabian Frei, Shaohua Li, Dániel Marx, Philipp Schepper, Roohani Sharma, Karol Węgrzycki","Data Structures and Algorithms (cs.DS)","We study a general family of problems that form a common generalization of classic hitting also referred to as covering or transversal and packing problems. An instance of XHitPack asks Can removing k deletable vertices of a graph G prevent us from packing ell vertexdisjoint objects of type X? This problem captures a spectrum of problems with standard hitting and packing on opposite ends. Our main motivating question is whether the combination XHitPack can be significantly harder than these two base problems. Already for a particular choice of X, this question can be posed for many different complexity notions, leading to a large, sofar unexplored domain in the intersection of the areas of hitting and packing problems. On a highlevel, we present two case studies 1 X being all cycles, and 2 X being all copies of a fixed graph H. In each, we explore the classical complexity, as well as the parameterized complexity with the natural parameters kl and treewidth. We observe that the combined problem can be drastically harder than the base problems for cycles or for H being a connected graph with at least 3 vertices, the problem is Sigma2Pcomplete and requires doubleexponential dependence on the treewidth of the graph assuming the ExponentialTime Hypothesis. In contrast, the combined problem admits qualitatively similar running times as the base problems in some cases, although significant novel ideas are required. For example, for X being all cycles, we establish a 2polyklnO1 algorithm using an involved branching method. Also, for X being all edges i.e., H  K2 this combines Vertex Cover and Maximum Matching the problem can be solved in time 2polytwnO1 on graphs of treewidth tw. The key step enabling this running time relies on a combinatorial bound obtained from an algebraic linear deltamatroid representation of possible matchings.","Thu, 22 Feb 2024 19:19:52 UTC (417 KB)"
"13","Time Efficient Implementation for Online $k$-server Problem on Trees","Kamil Khadiev, Maxim Yagafarov","Data Structures and Algorithms (cs.DS)","We consider online algorithms for the kserver problem on trees of size n. Chrobak and Larmore proposed a kcompetitive algorithm for this problem that has the optimal competitive ratio. However, the existing implementations have Oleftk2  kcdot log nright or Oleftklog n2right time complexity for processing a query, where n is the number of nodes. We propose a new timeefficient implementation of this algorithm that has On time complexity for preprocessing and Oleftklog kright time for processing a query. The new algorithm is faster than both existing algorithms and the time complexity for query processing does not depend on the tree size.","Thu, 22 Feb 2024 15:27:58 UTC (165 KB)"
"14","Approximate Circular Pattern Matching under Edit Distance","Panagiotis Charalampopoulos, Solon P. Pissis, Jakub Radoszewski, Wojciech Rytter, Tomasz Waleń, Wiktor Zuba","Data Structures and Algorithms (cs.DS)","In the kEdit Circular Pattern Matching kEdit CPM problem, we are given a lengthn text T, a lengthm pattern P, and a positive integer threshold k, and we are to report all starting positions of the substrings of T that are at edit distance at most k from some cyclic rotation of P. In the decision version of the problem, we are to check if any such substring exists. Very recently, Charalampopoulos et al. ESA 2022 presented Onk2time and Onk log3 ktime solutions for the reporting and decision versions of kEdit CPM, respectively. Here, we show that the reporting and decision versions of kEdit CPM can be solved in Onnm k6 time and Onnm k5 log3 k time, respectively, thus obtaining the first algorithms with a complexity of the type Onnm mathrmpolyk for this problem. Notably, our algorithms run in On time when mOmegak6 and are superior to the previous respective solutions when momegak4. We provide a metaalgorithm that yields efficient algorithms in several other interesting settings, such as when the strings are given in a compressed form as straightline programs, when the strings are dynamic, or when we have a quantum computer. We obtain our solutions by exploiting the structure of approximate circular occurrences of P in T, when T is relatively short w.r.t. P. Roughly speaking, either the starting positions of approximate occurrences of rotations of P form Ok4 intervals that can be computed efficiently, or some rotation of P is almost periodic is at a small edit distance from a string with small period. Dealing with the almost periodic case is the most technically demanding part of this work we tackle it using properties of locked fragments originating from Cole and Hariharan, SICOMP 2002.","Thu, 22 Feb 2024 13:42:47 UTC (280 KB)"
"15","An Improved Pseudopolynomial Time Algorithm for Subset Sum","Lin Chen, Jiayi Lian, Yuchen Mao, Guochuan Zhang","Data Structures and Algorithms (cs.DS)","We investigate pseudopolynomial time algorithms for Subset Sum. Given a multiset X of n positive integers and a target t, Subset Sum asks whether some subset of X sums to t. Bringmann proposes an tildeOn  ttime algorithm Bringmann SODA17, and an open question has naturally arisen can Subset Sum be solved in On  w time? Here w is the maximum integer in X. We make a progress towards resolving the open question by proposing an tildeOn  sqrtwttime algorithm.","Thu, 22 Feb 2024 12:38:42 UTC (26 KB)"
"16","Data Science with LLMs and Interpretable Models","Sebastian Bordt, Ben Lengerich, Harsha Nori, Rich Caruana","Machine Learning (cs.LG)","Recent years have seen important advances in the building of interpretable models, machine learning models that are designed to be easily understood by humans. In this work, we show that large language models LLMs are remarkably good at working with interpretable models, too. In particular, we show that LLMs can describe, interpret, and debug Generalized Additive Models GAMs. Combining the flexibility of LLMs with the breadth of statistical patterns accurately described by GAMs enables dataset summarization, question answering, and model critique. LLMs can also improve the interaction between domain experts and interpretable models, and generate hypotheses about the underlying phenomenon. We release urlthis https URL as an opensource LLMGAM interface.","Thu, 22 Feb 2024 12:04:15 UTC (427 KB)"
